Gasoline,2016,67,1497.8
Gasoline,2017,239,1120.1
Gasoline,2018,1478,738.2
Flex Fuel Vehicle,2018,146,757.3
Diesel,2018,50,763.6
Gasoline,2019,31795,340.8
Flex Fuel Vehicle,2019,1459,347.5
Hybrid,2019,663,346.0
Diesel,2019,441,355.7
Biodiesel,2019,247,339.1
Electric,2019,160,356.0
Gasoline,2020,412316,52.5
Flex Fuel Vehicle,2020,21688,53.8
Hybrid,2020,9566,57.8
Diesel,2020,4486,57.9
Biodiesel,2020,2047,61.1
Electric,2020,2019,66.5
