Subaru,19904,49.2
Toyota,36752,52.0
Honda,38715,59.4
Lexus,7764,59.6
Volkswagen,12431,60.0
Acura,7050,61.0
Mazda,8475,63.4
Audi,8920,65.2
INFINITI,4793,66.0
Kia,16150,67.2
